iter	Logloss
0	0.6031034701
1	0.5507872978
2	0.5174935006
3	0.497484857
4	0.4825618076
5	0.4708918664
6	0.4628241261
7	0.4563884329
8	0.4511174946
9	0.4469150373
10	0.4426315673
11	0.4382691459
12	0.4346023824
13	0.4304263931
14	0.4278655562
15	0.4258079164
16	0.4230081696
17	0.4213134387
18	0.4198051616
19	0.4182403766
20	0.4170248397
21	0.4153218742
22	0.414093432
23	0.411894476
24	0.4102432712
25	0.4088261011
26	0.4077225712
27	0.4068689562
28	0.4058675136
29	0.4036076134
30	0.4024630169
31	0.4009036416
32	0.4001454062
33	0.3994196894
34	0.3986077027
35	0.3979105425
36	0.3967651306
37	0.3962936749
38	0.3955716146
39	0.3948525563
40	0.3945079216
41	0.3940438253
42	0.3935972997
43	0.3928280512
44	0.3917307982
45	0.3912497418
46	0.390918558
47	0.3896762369
48	0.3890108807
49	0.3885245618
50	0.3874390418
51	0.3869940077
52	0.3865655901
53	0.3860177107
54	0.3857289296
55	0.3853309582
56	0.3851103199
57	0.3846860877
58	0.38417726
59	0.3838969153
60	0.383567073
61	0.3831185296
62	0.382798168
63	0.3825361304
64	0.3820952381
65	0.3814478891
66	0.3812225472
67	0.3809715253
68	0.3808014343
69	0.3802900708
70	0.3796877803
71	0.3794755538
72	0.3790486931
73	0.3783537878
74	0.3781617525
75	0.3778742175
76	0.3770223121
77	0.3768139411
78	0.3763020459
79	0.3759001181
80	0.3755806644
81	0.3752519346
82	0.3750178019
83	0.374852499
84	0.3746991526
85	0.3743217841
86	0.3741311803
87	0.3739502807
88	0.3736619632
89	0.3733307275
90	0.3730360513
91	0.372687414
92	0.372423214
93	0.3720552117
94	0.3717639302
95	0.3713302773
96	0.371192484
97	0.3710705792
98	0.3709216719
99	0.370600146
100	0.3703707386
101	0.3700435112
102	0.3699211155
103	0.3697352043
104	0.3694804605
105	0.3692955499
106	0.369061709
107	0.3688784317
108	0.368519921
109	0.36833729
110	0.3681403002
111	0.3679135623
112	0.367726923
113	0.3672350689
114	0.3669106773
115	0.3666411276
116	0.3664602744
117	0.3662162301
118	0.3659391656
119	0.3657601638
120	0.365566776
121	0.3653142709
122	0.3649608318
123	0.3645700288
124	0.3643272089
125	0.3639861435
126	0.3637385573
127	0.3634972779
128	0.3632714724
129	0.3630539889
130	0.3626944475
131	0.3624181492
132	0.3621725398
133	0.3618728629
134	0.3616801813
135	0.3615132696
136	0.3611795936
137	0.3607959428
138	0.3604750059
139	0.3601859085
140	0.3600130309
141	0.3597373488
142	0.3595387612
143	0.3593441246
144	0.359035346
145	0.3588690751
146	0.3586400876
147	0.3583690028
148	0.3582188521
149	0.3579374467
150	0.3577287649
151	0.3575167974
152	0.357222683
153	0.3569547856
154	0.3567821316
155	0.356534319
156	0.3562945857
157	0.35592949
158	0.3556013409
159	0.3553031419
160	0.3550055509
161	0.3548029796
162	0.3545557805
163	0.3543033871
164	0.3540847475
165	0.3539809887
166	0.3536994633
167	0.3534199694
168	0.3531277909
169	0.352845881
170	0.352638868
171	0.3524376655
172	0.3521579179
173	0.3519231908
174	0.3517118095
175	0.3514269876
176	0.3511787115
177	0.3509305881
178	0.3507781989
179	0.3505585039
180	0.3503466537
181	0.35012141
182	0.3499453667
183	0.349779273
184	0.3494842778
185	0.3493565869
186	0.3491816206
187	0.3490055664
188	0.3488480264
189	0.3486976985
190	0.3484583796
191	0.348228086
192	0.3480354699
193	0.3478616052
194	0.3477096903
195	0.3475363519
196	0.3473577618
197	0.3472386954
198	0.347151305
199	0.3469644476
