iter	Passed	Remaining
0	10	2092
1	19	1884
2	27	1804
3	36	1770
4	44	1730
5	52	1710
6	61	1684
7	69	1656
8	76	1631
9	101	1931
10	111	1918
11	122	1911
12	131	1898
13	140	1867
14	149	1838
15	157	1814
16	166	1795
17	175	1774
18	183	1750
19	192	1734
20	200	1710
21	209	1695
22	218	1677
23	226	1659
24	235	1645
25	243	1628
26	251	1614
27	259	1596
28	268	1583
29	277	1571
30	285	1558
31	294	1546
32	303	1534
33	312	1523
34	320	1512
35	329	1498
36	337	1486
37	345	1474
38	354	1462
39	362	1450
40	371	1438
41	379	1427
42	388	1417
43	396	1405
44	405	1395
45	413	1384
46	422	1374
47	430	1363
48	439	1353
49	448	1344
50	456	1334
51	465	1325
52	473	1314
53	482	1305
54	491	1295
55	499	1284
56	508	1275
57	516	1264
58	525	1254
59	533	1244
60	542	1235
61	550	1224
62	558	1215
63	567	1205
64	576	1196
65	584	1187
66	593	1177
67	601	1167
68	610	1158
69	618	1149
70	627	1140
71	635	1130
72	645	1122
73	654	1113
74	662	1104
75	671	1095
76	679	1086
77	688	1076
78	696	1067
79	707	1061
80	716	1052
81	725	1043
82	733	1033
83	741	1023
84	749	1014
85	758	1005
86	767	996
87	775	987
88	784	978
89	793	969
90	801	960
91	810	951
92	819	942
93	828	934
94	836	925
95	845	916
96	853	906
97	862	897
98	870	888
99	879	879
100	888	870
101	897	862
102	905	852
103	913	843
104	922	834
105	930	825
106	939	816
107	948	808
108	957	799
109	966	790
110	975	781
111	984	773
112	992	764
113	1001	755
114	1010	746
115	1018	737
116	1027	728
117	1035	719
118	1044	710
119	1052	701
120	1061	692
121	1069	684
122	1078	675
123	1086	666
124	1095	657
125	1106	649
126	1115	640
127	1124	632
128	1135	624
129	1144	616
130	1152	607
131	1161	598
132	1170	589
133	1179	580
134	1187	571
135	1195	562
136	1204	553
137	1212	544
138	1221	536
139	1230	527
140	1238	518
141	1247	509
142	1256	500
143	1264	491
144	1273	483
145	1282	474
146	1290	465
147	1300	456
148	1308	447
149	1317	439
150	1325	430
151	1334	421
152	1343	412
153	1352	403
154	1360	395
155	1369	386
156	1378	377
157	1387	368
158	1396	359
159	1404	351
160	1413	342
161	1421	333
162	1430	324
163	1439	315
164	1447	307
165	1455	298
166	1464	289
167	1473	280
168	1481	271
169	1491	263
170	1500	254
171	1510	245
172	1520	237
173	1530	228
174	1539	219
175	1549	211
176	1558	202
177	1568	193
178	1577	185
179	1587	176
180	1596	167
181	1605	158
182	1615	150
183	1624	141
184	1635	132
185	1643	123
186	1652	114
187	1662	106
188	1671	97
189	1680	88
190	1689	79
191	1698	70
192	1707	61
193	1716	53
194	1724	44
195	1733	35
196	1742	26
197	1750	17
198	1759	8
199	1767	0
