model,auc,accuracy,params,param_str
CatBoost,0.8656017172412337,0.8621779780722405,"{'learning_rate': 0.01, 'depth': 4}","{'learning_rate': 0.01, 'depth': 4}"
CatBoost,0.872906464437171,0.8633214501916997,"{'learning_rate': 0.01, 'depth': 6}","{'learning_rate': 0.01, 'depth': 6}"
CatBoost,0.8793140601766363,0.8663482881549741,"{'learning_rate': 0.01, 'depth': 8}","{'learning_rate': 0.01, 'depth': 8}"
CatBoost,0.8849049709756855,0.8692069684536221,"{'learning_rate': 0.05, 'depth': 4}","{'learning_rate': 0.05, 'depth': 4}"
CatBoost,0.8914980090455061,0.8720992802851953,"{'learning_rate': 0.05, 'depth': 6}","{'learning_rate': 0.05, 'depth': 6}"
CatBoost,0.894545101529837,0.8762359588350037,"{'learning_rate': 0.05, 'depth': 8}","{'learning_rate': 0.05, 'depth': 8}"
CatBoost,0.8914015192264898,0.8724692271473734,"{'learning_rate': 0.1, 'depth': 4}","{'learning_rate': 0.1, 'depth': 4}"
CatBoost,0.8959026765639653,0.8757314858411246,"{'learning_rate': 0.1, 'depth': 6}","{'learning_rate': 0.1, 'depth': 6}"
CatBoost,0.8963538097574946,0.8781865877446694,"{'learning_rate': 0.1, 'depth': 8}","{'learning_rate': 0.1, 'depth': 8}"
LightGBM,0.873434631678331,0.8821551086298514,"{'num_leaves': 31, 'learning_rate': 0.01, 'max_depth': 5}","{'num_leaves': 31, 'learning_rate': 0.01, 'max_depth': 5}"
LightGBM,0.8846880715152032,0.8821887401627766,"{'num_leaves': 31, 'learning_rate': 0.01, 'max_depth': 10}","{'num_leaves': 31, 'learning_rate': 0.01, 'max_depth': 10}"
LightGBM,0.8852247339622057,0.8817851617676734,"{'num_leaves': 31, 'learning_rate': 0.01, 'max_depth': -1}","{'num_leaves': 31, 'learning_rate': 0.01, 'max_depth': -1}"
LightGBM,0.8906435546716693,0.8724692271473734,"{'num_leaves': 31, 'learning_rate': 0.05, 'max_depth': 5}","{'num_leaves': 31, 'learning_rate': 0.05, 'max_depth': 5}"
LightGBM,0.8951989437821848,0.8737808569314589,"{'num_leaves': 31, 'learning_rate': 0.05, 'max_depth': 10}","{'num_leaves': 31, 'learning_rate': 0.05, 'max_depth': 10}"
LightGBM,0.8958681860896485,0.8740499091948611,"{'num_leaves': 31, 'learning_rate': 0.05, 'max_depth': -1}","{'num_leaves': 31, 'learning_rate': 0.05, 'max_depth': -1}"
LightGBM,0.8957364474602681,0.8748234344521423,"{'num_leaves': 31, 'learning_rate': 0.1, 'max_depth': 5}","{'num_leaves': 31, 'learning_rate': 0.1, 'max_depth': 5}"
LightGBM,0.8957570484111907,0.8740835407277864,"{'num_leaves': 31, 'learning_rate': 0.1, 'max_depth': 10}","{'num_leaves': 31, 'learning_rate': 0.1, 'max_depth': 10}"
LightGBM,0.8967404536851324,0.8743862245241139,"{'num_leaves': 31, 'learning_rate': 0.1, 'max_depth': -1}","{'num_leaves': 31, 'learning_rate': 0.1, 'max_depth': -1}"
LightGBM,0.873434631678331,0.8821551086298514,"{'num_leaves': 64, 'learning_rate': 0.01, 'max_depth': 5}","{'num_leaves': 64, 'learning_rate': 0.01, 'max_depth': 5}"
LightGBM,0.8893905962400286,0.8832985807493106,"{'num_leaves': 64, 'learning_rate': 0.01, 'max_depth': 10}","{'num_leaves': 64, 'learning_rate': 0.01, 'max_depth': 10}"
